"Nebnext_index1" "Nebnext_index2" "Nebnext_index3" "Nebnext_index4" "Nebnext_index5" "Nebnext_index6" "Nebnext_index7" "Nebnext_index8" "Nebnext_index9" "Nebnext_index10" "Nebnext_index11" "Nebnext_index12" "Nebnext_index31" "Nebnext_index32" "Nebnext_index33" "Nebnext_index34" "Nebnext_index39" "Nebnext_index40" "Nebnext_index45" "Nebnext_index47" "Nebnext_index17" "Nebnext_index24" "Nebnext_index26" "Nebnext_index28" "Nebnext_index29" "Nebnext_index35" "Nebnext_index36" "Nebnext_index42" "Nebnext_index30" "Nebnext_index38" "Nebnext_index37" "Nebnext_index41" "Nebnext_index43" "Nebnext_index44" "Nebnext_index46" "Nebnext_index48" "Nebnext_index25" "Nebnext_index27" "Nebnext_index100" "Nebnext_index101" "Nebnext_index102" "Nebnext_index103" "Nebnext_index104" "Nebnext_index105" "Nebnext_index106" "Nebnext_index107" "Nebnext_index108" "Nebnext_index109" "Nebnext_index110" "Nebnext_index111" "TruSeq-LT-01" "TruSeq-LT-02" "TruSeq-LT-03" "TruSeq-LT-04" "TruSeq-LT-05" "TruSeq-LT-06" "TruSeq-LT-07" "TruSeq-LT-08" "TruSeq-LT-09" "TruSeq-LT-10" "TruSeq-LT-11" "TruSeq-LT-12" "TruSeq-LT-13" "TruSeq-LT-14" "TruSeq-LT-15" "TruSeq-LT-16" "TruSeq-LT-18" "TruSeq-LT-19" "TruSeq-LT-20" "TruSeq-LT-21" "TruSeq-LT-22" "TruSeq-LT-23" "TruSeq-LT-25" "TruSeq-LT-27"
"Nebnext_index11" 5 4 5 5 6 3 5 5 4 6 0 6 4 4 6 5 3 4 4 5 4 3 5 5 6 5 6 5 5 6 4 2 4 5 5 6 5 6 3 6 4 6 3 5 5 5 4 6 4 4 5 4 5 5 6 3 5 5 4 6 0 6 4 3 5 4 3 4 4 4 5 4 5 6
"Nebnext_index12" 5 5 4 5 4 6 4 4 5 5 6 0 4 4 4 3 4 4 5 6 4 5 5 5 3 3 4 6 5 3 5 5 6 5 5 4 4 4 5 5 5 3 6 5 5 5 5 4 4 6 5 5 4 5 4 6 4 4 5 5 6 0 4 5 4 5 5 4 4 4 4 6 4 4
"Nebnext_index31" 5 4 5 6 5 3 4 6 4 4 4 4 0 3 3 3 4 6 6 5 4 6 6 3 4 3 5 5 3 3 3 2 4 3 5 5 3 5 3 5 3 3 5 5 4 4 6 6 6 3 5 4 5 6 5 3 4 6 4 4 4 4 5 6 6 5 5 5 5 6 5 5 3 5
"Nebnext_index32" 4 4 6 4 6 5 4 4 5 5 4 4 3 0 3 4 4 6 5 6 6 6 6 4 3 3 3 3 3 4 5 4 4 5 4 4 6 5 5 3 3 5 3 6 4 5 4 5 4 4 4 4 6 4 6 5 4 4 5 5 4 4 5 4 3 3 5 5 5 4 4 4 6 5
"Nebnext_index33" 4 5 5 5 4 6 3 6 4 4 6 4 3 3 0 3 5 5 6 4 4 6 5 3 4 4 4 3 3 3 4 4 5 5 6 3 5 5 4 3 3 4 4 6 4 6 5 5 5 4 4 5 5 5 4 6 3 6 4 4 6 4 6 5 4 3 6 5 3 4 3 3 5 5
"Nebnext_index34" 6 4 3 6 5 6 3 4 4 5 5 3 3 4 3 0 4 5 5 6 5 3 4 4 4 3 5 5 3 4 5 3 3 4 5 5 4 5 5 5 4 4 4 6 5 6 5 5 6 5 6 4 3 6 5 6 3 4 4 5 5 3 5 4 6 4 4 6 4 5 4 4 4 5
"Nebnext_index39" 5 3 3 5 5 5 4 5 5 6 3 4 4 4 5 4 0 4 3 5 3 5 4 3 4 4 4 4 5 3 4 4 5 5 6 6 5 5 5 6 2 4 3 5 6 6 5 5 5 5 5 3 3 5 5 5 4 5 5 6 3 4 5 4 4 3 4 4 4 4 5 5 5 5
"Nebnext_index40" 4 6 4 6 5 4 2 6 5 4 4 4 6 6 5 5 4 0 4 4 4 3 2 5 5 5 5 6 6 5 4 4 4 5 6 5 6 5 6 4 6 5 4 3 5 4 5 4 3 6 4 6 4 6 5 4 2 6 5 4 4 4 6 5 4 4 3 2 2 4 5 4 6 5
"Nebnext_index45" 6 4 3 4 3 5 4 4 6 4 4 5 6 5 6 5 3 4 0 4 5 5 5 5 4 4 4 3 6 5 6 5 4 5 4 4 5 6 6 6 4 3 3 3 4 3 4 5 3 6 6 4 3 4 3 5 4 4 6 4 4 5 6 4 5 3 5 6 5 5 6 5 5 6
"Nebnext_index47" 4 6 5 5 4 3 4 5 4 4 5 6 5 6 4 6 5 4 4 0 4 5 4 3 6 6 4 4 5 6 3 5 4 3 4 3 4 6 4 4 4 5 6 4 4 3 4 4 4 4 4 6 5 5 4 3 4 5 4 4 5 6 5 6 5 4 6 3 5 5 4 4 4 6
"Nebnext_index17" 4 5 3 5 3 4 6 6 3 6 4 4 4 6 4 5 3 4 5 4 0 5 5 3 5 6 5 4 5 3 5 3 6 5 6 5 4 5 3 6 3 4 4 4 5 6 6 5 5 4 4 5 3 5 3 4 6 6 3 6 4 4 5 6 5 6 4 3 3 3 5 4 4 5
"Nebnext_index24" 5 4 4 5 6 4 4 4 4 6 3 5 6 6 6 3 5 3 5 5 5 0 3 5 6 5 5 6 5 6 4 4 3 4 5 6 5 5 5 5 6 6 4 4 6 5 4 5 5 6 5 4 4 5 6 4 4 4 4 6 3 5 4 3 6 5 3 4 4 4 3 4 5 5
"Nebnext_index26" 3 5 3 6 5 5 3 4 6 5 5 5 6 6 5 4 4 2 5 4 5 3 0 5 6 6 5 6 5 5 4 5 3 5 5 5 5 4 5 3 6 6 5 5 6 5 4 3 5 5 3 5 3 6 5 5 3 4 6 5 5 5 5 4 3 4 3 3 3 5 5 4 5 4
"Nebnext_index28" 4 4 5 5 4 4 3 6 3 5 5 5 3 4 3 4 3 5 5 3 3 5 5 0 3 4 3 3 3 4 3 4 4 3 6 6 5 6 4 4 1 4 4 4 4 5 6 6 6 3 4 4 5 5 4 4 3 6 3 5 5 5 5 6 6 5 6 4 6 5 3 4 5 6
"Nebnext_index29" 6 4 5 3 4 6 3 5 4 3 6 3 4 3 4 4 4 5 4 6 5 6 6 3 0 3 3 4 3 4 5 5 5 5 4 5 6 5 6 4 3 3 4 4 3 5 5 4 4 4 6 4 5 3 4 6 3 5 4 3 6 3 4 6 5 5 5 5 6 6 5 5 6 5
"Nebnext_index35" 6 3 6 6 5 5 3 4 4 3 5 3 3 3 4 3 4 5 4 6 6 5 6 4 3 0 5 4 4 4 4 5 5 3 6 6 4 4 6 5 3 3 4 4 4 4 5 6 4 5 6 3 6 6 5 5 3 4 4 3 5 3 5 4 5 4 6 6 6 4 4 4 4 4
"Nebnext_index36" 4 4 5 3 4 4 4 4 6 6 6 4 5 3 4 5 4 5 4 4 5 5 5 3 3 5 0 4 5 3 4 6 5 5 4 3 5 5 6 3 4 3 4 3 6 4 5 5 4 6 4 4 5 3 4 4 4 4 6 6 6 4 5 5 4 3 6 4 5 5 3 6 5 5
"Nebnext_index42" 4 4 4 3 4 6 5 5 4 4 5 6 5 3 3 5 4 6 3 4 4 6 6 3 4 4 4 0 4 4 6 5 4 4 5 4 6 5 5 4 2 5 2 5 3 5 4 5 5 4 4 4 4 3 4 6 5 5 4 4 5 6 6 4 4 4 6 6 5 3 4 3 6 5
"Nebnext_index30" 4 4 5 5 5 5 4 5 3 4 5 5 3 3 3 3 5 6 6 5 5 5 5 3 3 4 5 4 0 5 5 4 3 5 3 6 6 5 4 5 3 5 5 6 2 5 5 4 6 2 4 4 5 5 5 5 4 5 3 4 5 5 5 6 6 5 3 6 6 5 4 3 6 5
"Nebnext_index38" 4 3 3 4 4 5 5 6 6 5 6 3 3 4 3 4 3 5 5 6 3 6 5 4 4 4 3 4 5 0 4 5 6 5 6 4 4 3 5 5 4 2 4 4 6 5 6 5 6 6 4 3 3 4 4 5 5 6 6 5 6 3 6 5 4 4 5 5 3 4 4 6 4 3
"Nebnext_index37" 5 3 6 5 6 3 3 6 5 4 4 5 3 5 4 5 4 4 6 3 5 4 4 3 5 4 4 6 5 4 0 5 5 3 6 5 4 5 4 4 4 4 6 4 6 4 4 5 5 5 5 3 6 5 6 3 3 6 5 4 4 5 4 5 5 4 6 3 5 6 3 5 4 5
"Nebnext_index41" 5 6 4 6 5 3 4 6 3 5 2 5 2 4 4 3 4 4 5 5 3 4 5 4 5 5 6 5 4 5 5 0 3 4 5 5 4 6 3 5 4 5 3 5 4 5 6 6 5 3 5 6 4 6 5 3 4 6 3 5 2 5 5 5 6 5 3 4 3 5 6 4 4 6
"Nebnext_index43" 4 5 3 5 6 4 3 5 5 4 4 6 4 4 5 3 5 4 4 4 6 3 3 4 5 5 5 4 3 6 5 3 0 3 3 5 6 6 5 4 5 6 4 5 3 3 4 4 6 4 4 5 3 5 6 4 3 5 5 4 4 6 6 5 6 5 3 5 5 6 5 4 6 6
"Nebnext_index44" 5 5 5 5 6 3 4 5 3 3 5 5 3 5 5 4 5 5 5 3 5 4 5 3 5 3 5 4 5 5 3 4 3 0 5 5 3 4 5 4 4 5 5 4 4 3 5 5 6 4 5 5 5 5 6 3 4 5 3 3 5 5 4 5 6 6 6 4 6 5 4 5 3 4
"Nebnext_index46" 5 5 4 3 5 4 6 3 5 4 5 5 5 4 6 5 6 6 4 4 6 5 5 6 4 6 4 5 3 6 6 5 3 5 0 3 5 5 5 5 6 5 6 5 3 3 3 2 4 4 5 5 4 3 5 4 6 3 5 4 5 5 4 6 5 5 3 5 6 6 6 5 5 5
"Nebnext_index48" 5 6 4 3 4 5 5 4 6 4 6 4 5 4 3 5 6 5 4 3 5 6 5 6 5 6 3 4 6 4 5 5 5 5 3 0 4 5 5 3 6 4 5 5 5 4 3 3 3 6 5 6 4 3 4 5 5 4 6 4 6 4 5 5 3 3 6 4 3 5 5 5 4 5
"Nebnext_index25" 5 5 5 6 3 3 6 3 4 5 5 4 3 6 5 4 5 6 5 4 4 5 5 5 6 4 5 6 6 4 4 4 6 3 5 4 0 3 3 5 5 3 6 4 6 4 6 6 5 4 5 5 5 6 3 3 6 3 4 5 5 4 3 4 5 5 6 5 5 5 5 6 0 3
"Nebnext_index27" 3 5 5 4 5 5 6 4 4 4 6 4 5 5 5 5 5 5 6 6 5 5 4 6 5 4 5 5 5 3 5 6 6 4 5 5 3 0 5 4 6 5 5 5 5 5 6 4 6 4 3 5 5 4 5 5 6 4 4 4 6 4 3 3 3 5 4 5 4 3 4 6 3 0
"Nebnext_index100" 3 5 5 5 3 4 6 5 4 6 3 5 3 5 4 5 5 6 6 4 3 5 5 4 6 6 6 5 4 5 4 3 5 5 5 5 3 5 0 5 4 5 6 6 4 5 5 6 6 2 3 5 5 5 3 4 6 5 4 6 3 5 3 4 5 6 5 5 5 5 4 5 3 5
"Nebnext_index101" 3 6 6 4 5 5 3 4 5 4 6 5 5 3 3 5 6 4 6 4 6 5 3 4 4 5 3 4 5 5 4 5 4 4 5 3 5 4 5 0 5 6 4 5 5 5 4 4 4 4 3 6 6 4 5 5 3 4 5 4 6 5 4 4 2 4 6 3 4 5 4 4 5 4
"Nebnext_index102" 5 3 5 5 4 5 4 5 3 5 4 5 3 3 3 4 2 6 4 4 3 6 6 1 3 3 4 2 3 4 4 4 5 4 6 6 5 6 4 5 0 4 3 5 4 6 5 6 5 3 5 3 5 5 4 5 4 5 3 5 4 5 5 5 5 4 6 5 6 4 4 3 5 6
"Nebnext_index103" 6 3 4 5 2 4 4 5 6 4 6 3 3 5 4 4 4 5 3 5 4 6 6 4 3 3 3 5 5 2 4 5 6 5 5 4 3 5 5 6 4 0 5 2 5 3 6 6 4 6 6 3 4 5 2 4 4 5 6 4 6 3 6 6 6 4 6 6 5 6 5 6 3 5
"Nebnext_index104" 5 4 4 4 5 5 4 5 4 5 3 6 5 3 4 4 3 4 3 6 4 4 5 4 4 4 4 2 5 4 6 3 4 5 6 5 6 5 6 4 3 5 0 4 5 6 5 6 4 5 5 4 4 4 5 5 4 5 4 5 3 6 6 3 4 3 4 5 3 3 5 3 6 5
"Nebnext_index105" 5 4 5 5 3 2 4 5 5 4 5 5 5 6 6 6 5 3 3 4 4 4 5 4 4 4 3 5 6 4 4 5 5 4 5 5 4 5 6 5 5 2 4 0 5 2 6 6 3 6 5 4 5 5 3 2 4 5 5 4 5 5 6 6 6 5 5 4 5 5 5 5 4 5
"Nebnext_index106" 4 6 5 4 4 5 4 6 3 2 5 5 4 4 4 5 6 5 4 4 5 6 6 4 3 4 6 3 2 6 6 4 3 4 3 5 6 5 4 5 4 5 5 5 0 3 5 4 5 2 4 6 5 4 4 5 4 6 3 2 5 5 5 6 6 6 4 6 6 5 5 4 6 5
"Nebnext_index107" 4 5 5 5 4 2 4 5 6 3 5 5 4 5 6 6 6 4 3 3 6 5 5 5 5 4 4 5 5 5 4 5 3 3 3 4 4 5 5 5 6 3 6 2 3 0 5 5 4 5 4 5 5 5 4 2 4 5 6 3 5 5 6 6 6 5 5 5 6 6 5 6 4 5
"Nebnext_index108" 6 3 4 3 6 6 5 3 6 4 4 5 6 4 5 5 5 5 4 4 6 4 4 6 5 5 5 4 5 6 4 6 4 5 3 3 6 6 5 4 5 6 5 6 5 5 0 2 3 6 6 3 4 3 6 6 5 3 6 4 4 5 4 4 3 4 5 4 5 5 5 3 6 6
"Nebnext_index109" 5 5 3 3 6 6 5 4 5 3 6 4 6 5 5 5 5 4 5 4 5 5 3 6 4 6 5 5 4 5 5 6 4 5 2 3 6 4 6 4 6 6 6 6 4 5 2 0 4 5 5 5 3 3 6 6 5 4 5 3 6 4 4 6 3 5 3 3 4 5 6 4 6 4
"Nebnext_index110" 6 5 6 5 4 4 4 3 5 4 4 4 6 4 5 6 5 3 3 4 5 5 5 6 4 4 4 5 6 6 5 5 6 6 4 3 5 6 6 4 5 4 4 3 5 4 3 4 0 6 6 5 6 5 4 4 4 3 5 4 4 4 5 5 3 3 5 3 4 4 6 3 5 6
"Nebnext_index111" 3 6 6 5 4 4 5 5 2 4 4 6 3 4 4 5 5 6 6 4 4 6 5 3 4 5 6 4 2 6 5 3 4 4 4 6 4 4 2 4 3 6 5 6 2 5 6 5 6 0 3 6 6 5 4 4 5 5 2 4 4 6 3 5 5 6 4 5 6 5 5 4 4 4
"TruSeq-LT-01" 0 6 5 5 4 4 5 5 5 6 5 5 5 4 4 6 5 4 6 4 4 5 3 4 6 6 4 4 4 4 5 5 4 5 5 5 5 3 3 3 5 6 5 5 4 4 6 5 6 3 0 6 5 5 4 4 5 5 5 6 5 5 5 4 3 5 4 4 4 3 3 5 5 3
"TruSeq-LT-02" 6 0 4 4 5 5 5 4 6 5 4 5 4 4 5 4 3 6 4 6 5 4 5 4 4 3 4 4 4 3 3 6 5 5 5 6 5 5 5 6 3 3 4 4 6 5 3 5 5 6 6 0 4 4 5 5 5 4 6 5 4 5 5 4 5 4 5 6 6 5 4 4 5 5
"TruSeq-LT-03" 5 4 0 4 4 6 5 5 6 5 5 4 5 6 5 3 3 4 3 5 3 4 3 5 5 6 5 4 5 3 6 4 3 5 4 4 5 5 5 6 5 4 4 5 5 5 4 3 6 6 5 4 0 4 4 6 5 5 6 5 5 4 6 5 5 5 3 5 3 5 6 5 5 5
"TruSeq-LT-04" 5 4 4 0 5 6 6 5 5 4 5 5 6 4 5 6 5 6 4 5 5 5 6 5 3 6 3 3 5 4 5 6 5 5 3 3 6 4 5 4 5 5 4 5 4 5 3 3 5 5 5 4 4 0 5 6 6 5 5 4 5 5 3 4 4 5 5 5 5 5 4 6 6 4
"TruSeq-LT-05" 4 5 4 5 0 5 5 4 5 5 6 4 5 6 4 5 5 5 3 4 3 6 5 4 4 5 4 4 5 4 6 5 6 6 5 4 3 5 3 5 4 2 5 3 4 4 6 6 4 4 4 5 4 5 0 5 5 4 5 5 6 4 5 5 5 5 6 6 5 5 5 5 3 5
"TruSeq-LT-06" 4 5 6 6 5 0 5 5 4 5 3 6 3 5 6 6 5 4 5 3 4 4 5 4 6 5 4 6 5 5 3 3 4 3 4 5 3 5 4 5 5 4 5 2 5 2 6 6 4 4 4 5 6 6 5 0 5 5 4 5 3 6 5 6 6 5 4 3 5 5 5 5 3 5
"TruSeq-LT-07" 5 5 5 6 5 5 0 6 5 3 5 4 4 4 3 3 4 2 4 4 6 4 3 3 3 3 4 5 4 5 3 4 3 4 6 5 6 6 6 3 4 4 4 4 4 4 5 5 4 5 5 5 5 6 5 5 0 6 5 3 5 4 6 5 5 3 5 4 4 6 4 4 6 6
"TruSeq-LT-08" 5 4 5 5 4 5 6 0 5 6 5 4 6 4 6 4 5 6 4 5 6 4 4 6 5 4 4 5 5 6 6 6 5 5 3 4 3 4 5 4 5 5 5 5 6 5 3 4 3 5 5 4 5 5 4 5 6 0 5 6 5 4 3 3 3 4 5 5 6 4 5 4 3 4
"TruSeq-LT-09" 5 6 6 5 5 4 5 5 0 4 4 5 4 5 4 4 5 5 6 4 3 4 6 3 4 4 6 4 3 6 5 3 5 3 5 6 4 4 4 5 3 6 4 5 3 6 6 5 5 2 5 6 6 5 5 4 5 5 0 4 4 5 3 5 6 6 4 4 5 3 4 3 4 4
"TruSeq-LT-10" 6 5 5 4 5 5 3 6 4 0 6 5 4 5 4 5 6 4 4 4 6 6 5 5 3 3 6 4 4 5 4 5 4 3 4 4 5 4 6 4 5 4 5 4 2 3 4 3 4 4 6 5 5 4 5 5 3 6 4 0 6 5 5 6 5 5 5 5 5 6 6 4 5 4
"TruSeq-LT-11" 5 4 5 5 6 3 5 5 4 6 0 6 4 4 6 5 3 4 4 5 4 3 5 5 6 5 6 5 5 6 4 2 4 5 5 6 5 6 3 6 4 6 3 5 5 5 4 6 4 4 5 4 5 5 6 3 5 5 4 6 0 6 4 3 5 4 3 4 4 4 5 4 5 6
"TruSeq-LT-12" 5 5 4 5 4 6 4 4 5 5 6 0 4 4 4 3 4 4 5 6 4 5 5 5 3 3 4 6 5 3 5 5 6 5 5 4 4 4 5 5 5 3 6 5 5 5 5 4 4 6 5 5 4 5 4 6 4 4 5 5 6 0 4 5 4 5 5 4 4 4 4 6 4 4
"TruSeq-LT-13" 5 5 6 3 5 5 6 3 3 5 4 4 5 5 6 5 5 6 6 5 5 4 5 5 4 5 5 6 5 6 4 5 6 4 4 5 3 3 3 4 5 6 6 6 5 6 4 4 5 3 5 5 6 3 5 5 6 3 3 5 4 4 0 3 4 6 5 4 6 5 4 6 3 3
"TruSeq-LT-14" 4 4 5 4 5 6 5 3 5 6 3 5 6 4 5 4 4 5 4 6 6 3 4 6 6 4 5 4 6 5 5 5 5 5 6 5 4 3 4 4 5 6 3 6 6 6 4 6 5 5 4 4 5 4 5 6 5 3 5 6 3 5 3 0 3 3 5 6 4 3 3 5 4 3
"TruSeq-LT-15" 3 5 5 4 5 6 5 3 6 5 5 4 6 3 4 6 4 4 5 5 5 6 3 6 5 5 4 4 6 4 5 6 6 6 5 3 5 3 5 2 5 6 4 6 6 6 3 3 3 5 3 5 5 4 5 6 5 3 6 5 5 4 4 3 0 3 5 3 3 3 5 4 5 3
"TruSeq-LT-16" 5 4 5 5 5 5 3 4 6 5 4 5 5 3 3 4 3 4 3 4 6 5 4 5 5 4 3 4 5 4 4 5 5 6 5 3 5 5 6 4 4 4 3 5 6 5 4 5 3 6 5 4 5 5 5 5 3 4 6 5 4 5 6 3 3 0 5 5 3 4 4 4 5 5
"TruSeq-LT-18" 4 5 3 5 6 4 5 5 4 5 3 5 5 5 6 4 4 3 5 6 4 3 3 6 5 6 6 6 3 5 6 3 3 6 3 6 6 4 5 6 6 6 4 5 4 5 5 3 5 4 4 5 3 5 6 4 5 5 4 5 3 5 5 5 5 5 0 4 3 4 6 4 6 4
"TruSeq-LT-19" 4 6 5 5 6 3 4 5 4 5 4 4 5 5 5 6 4 2 6 3 3 4 3 4 5 6 4 6 6 5 3 4 5 4 5 4 5 5 5 3 5 6 5 4 6 5 4 3 3 5 4 6 5 5 6 3 4 5 4 5 4 4 4 6 3 5 4 0 3 4 5 4 5 5
"TruSeq-LT-20" 4 6 3 5 5 5 4 6 5 5 4 4 5 5 3 4 4 2 5 5 3 4 3 6 6 6 5 5 6 3 5 3 5 6 6 3 5 4 5 4 6 5 3 5 6 6 5 4 4 6 4 6 3 5 5 5 4 6 5 5 4 4 6 4 3 3 3 3 0 3 5 4 5 4
"TruSeq-LT-21" 3 5 5 5 5 5 6 4 3 6 4 4 6 4 4 5 4 4 5 5 3 4 5 5 6 4 5 3 5 4 6 5 6 5 6 5 5 3 5 5 4 6 3 5 5 6 5 5 4 5 3 5 5 5 5 5 6 4 3 6 4 4 5 3 3 4 4 4 3 0 3 3 5 3
"TruSeq-LT-22" 3 4 6 4 5 5 4 5 4 6 5 4 5 4 3 4 5 5 6 4 5 3 5 3 5 4 3 4 4 4 3 6 5 4 6 5 5 4 4 4 4 5 5 5 5 5 5 6 6 5 3 4 6 4 5 5 4 5 4 6 5 4 4 3 5 4 6 5 5 3 0 5 5 4
"TruSeq-LT-23" 5 4 5 6 5 5 4 4 3 4 4 6 5 4 3 4 5 4 5 4 4 4 4 4 5 4 6 3 3 6 5 4 4 5 5 5 6 6 5 4 3 6 3 5 4 6 3 4 3 4 5 4 5 6 5 5 4 4 3 4 4 6 6 5 4 4 4 4 4 3 5 0 6 6
"TruSeq-LT-25" 5 5 5 6 3 3 6 3 4 5 5 4 3 6 5 4 5 6 5 4 4 5 5 5 6 4 5 6 6 4 4 4 6 3 5 4 0 3 3 5 5 3 6 4 6 4 6 6 5 4 5 5 5 6 3 3 6 3 4 5 5 4 3 4 5 5 6 5 5 5 5 6 0 3
"TruSeq-LT-27" 3 5 5 4 5 5 6 4 4 4 6 4 5 5 5 5 5 5 6 6 5 5 4 6 5 4 5 5 5 3 5 6 6 4 5 5 3 0 5 4 6 5 5 5 5 5 6 4 6 4 3 5 5 4 5 5 6 4 4 4 6 4 3 3 3 5 4 5 4 3 4 6 3 0
